question_id;question_type;image_name;question;answer;image_id
64001;are there;COCO_train2014_64.jpg;Are there numbers on the clock face?;no;64
64002;is there a;COCO_train2014_64.jpg;Is there a big tree behind the clock?;yes;64
458752003;is this;COCO_train2014_458752.jpg;Is this man a professional baseball player?;yes;458752
131093000;are there;COCO_train2014_131093.jpg;Are there rocks in the picture?;yes;131093
137045001;is the;COCO_train2014_137045.jpg;Is the animal a mammal?;yes;137045
131093001;has;COCO_train2014_131093.jpg;Has the sheep recently been shaved?;no;131093
131093003;are there;COCO_train2014_131093.jpg;Are there three sheep?;yes;131093
127000;is there a;COCO_train2014_127.jpg;Is there a travel guide on the table?;yes;127
262207001;is there a;COCO_train2014_262207.jpg;Is there a person standing in front of the television?;yes;262207
262207003;is there;COCO_train2014_262207.jpg;Is there enough room under the armchairs for a cat to hide?;yes;262207
131113001;is there a;COCO_train2014_131113.jpg;Is there a carpet on the floor?;yes;131113
262184000;is this a;COCO_train2014_262184.jpg;Is this a toy-sized truck?;no;262184
305853001;is there;COCO_train2014_305853.jpg;Is there more than one vase on the table?;yes;305853
131133002;are the;COCO_train2014_131133.jpg;Are the mountains high?;yes;131133
131197004;is the;COCO_train2014_131197.jpg;Is the ram's fleece dirty?;no;131197
546151001;is the;COCO_train2014_546151.jpg;Is the bus stopped?;yes;546151
81000;does this;COCO_train2014_81.jpg;Does this planes tail have 4 colors?;no;81
81001;is this;COCO_train2014_81.jpg;Is this plane landing?;no;81
81002;is this;COCO_train2014_81.jpg;Is this plane taking off?;no;81
81004;are these;COCO_train2014_81.jpg;Are these wings strong?;yes;81
131174002;is there;COCO_train2014_131174.jpg;Is there anyone in the cockpit?;yes;131174
524325002;are;COCO_train2014_524325.jpg;Are those kites in the air?;yes;524325
393317002;is the;COCO_train2014_393317.jpg;Is the light green?;yes;393317
393317004;is it;COCO_train2014_393317.jpg;Is it raining?;no;393317
393317009;is this;COCO_train2014_393317.jpg;Is this woman crossing a street?;yes;393317
393317013;is this;COCO_train2014_393317.jpg;Is this in the United States?;yes;393317
262159000;is there a;COCO_train2014_262159.jpg;Is there a deodorant on the sink?;no;262159
131087001;is the;COCO_train2014_131087.jpg;Is the dog wearing a collar?;yes;131087
131087002;is it;COCO_train2014_131087.jpg;Is it a clear day?;yes;131087
131087003;is there a;COCO_train2014_131087.jpg;Is there a body of water here?;yes;131087
262159001;is there a;COCO_train2014_262159.jpg;Is there a full roll of toilet paper in the bathroom?;yes;262159
262159003;none of the above;COCO_train2014_262159.jpg;Would someone be able to watch you change from the outside?;yes;262159
262159005;does the;COCO_train2014_262159.jpg;Does the shower have a glass door?;no;262159
262159008;is the;COCO_train2014_262159.jpg;Is the towel rack silver?;no;262159
262180001;is this a;COCO_train2014_262180.jpg;Is this a good dessert?;yes;262180
262159009;is there a;COCO_train2014_262159.jpg;Is there a shower curtain?;yes;262159
262159012;is the;COCO_train2014_262159.jpg;Is the toilet lid down?;yes;262159
262201001;none of the above;COCO_train2014_262201.jpg;Will the birds go into the water?;no;262201
262201003;is this;COCO_train2014_262201.jpg;Is this bird afraid of the ledge?;no;262201
78000;are the;COCO_train2014_78.jpg;Are the clock and owl made in the same artistic fashion?;no;78
78001;is;COCO_train2014_78.jpg;Is that owl a candle?;yes;78
393230002;is there a;COCO_train2014_393230.jpg;Is there a shadow of a tree in the foreground?;no;393230
393230006;none of the above;COCO_train2014_393230.jpg;Did someone forget his luggage in the snow?;no;393230
393230008;is it;COCO_train2014_393230.jpg;Is it daytime?;yes;393230
393251000;are they;COCO_train2014_393251.jpg;Are they drinking wine at the child's party?;yes;393251
393230010;is the person;COCO_train2014_393230.jpg;Is the person wearing a hat?;no;393230
393251001;is the man;COCO_train2014_393251.jpg;Is the man wearing glasses?;yes;393251
131128003;do;COCO_train2014_131128.jpg;Do the painted flowers match the real ones?;no;131128
262285002;is there;COCO_train2014_262285.jpg;Is there an animal that seems to stick out?;no;262285
262285003;is this;COCO_train2014_262285.jpg;Is this in a zoo?;no;262285
262285004;is this;COCO_train2014_262285.jpg;Is this in a desert?;yes;262285
34000;is this a;COCO_train2014_34.jpg;Is this a horse?;no;34
524386000;is the;COCO_train2014_524386.jpg;Is the room carpeted?;yes;524386
524386002;is there a;COCO_train2014_524386.jpg;Is there a fireplace?;no;524386
524386003;are;COCO_train2014_524386.jpg;Are stains on the floor?;no;524386
524386008;are these;COCO_train2014_524386.jpg;Are these boys at home?;no;524386
131127001;is the man;COCO_train2014_131127.jpg;Is the man unhappy?;no;131127
131127002;are the;COCO_train2014_131127.jpg;Are the men going to share the bananas?;no;131127
524386010;is this a;COCO_train2014_524386.jpg;Is this a 60's motif?;no;524386
393228000;are there;COCO_train2014_393228.jpg;Are there 3 elephants?;yes;393228
131084001;is the man;COCO_train2014_131084.jpg;Is the man riding on a dirt path?;yes;131084
393228001;are;COCO_train2014_393228.jpg;Are all of the elephants full grown?;no;393228
393228002;are the;COCO_train2014_393228.jpg;Are the elephants in the jungle?;yes;393228
393292000;is the;COCO_train2014_393292.jpg;Is the water on?;no;393292
393292001;is this;COCO_train2014_393292.jpg;Is this photo outdoors?;yes;393292
524428000;are these;COCO_train2014_524428.jpg;Are these the normal size pieces of pizza?;yes;524428
524428001;could;COCO_train2014_524428.jpg;Could you eat all of this pizza?;no;524428
524428002;is there;COCO_train2014_524428.jpg;Is there broccoli on a slice of pizza?;yes;524428
131190000;is this a;COCO_train2014_131190.jpg;Is this a large house?;yes;131190
567990001;does the;COCO_train2014_567990.jpg;Does the crust look burnt?;yes;567990
131126002;is there a;COCO_train2014_131126.jpg;Is there a stop sign in the picture?;yes;131126
567990003;does this;COCO_train2014_567990.jpg;Does this pizza have a deep dish crust?;yes;567990
131190001;is there a;COCO_train2014_131190.jpg;Is there a fountain in front of the building?;no;131190
131190002;is the;COCO_train2014_131190.jpg;Is the sun shining?;yes;131190
131190004;is this a;COCO_train2014_131190.jpg;Is this a church?;yes;131190
131190006;are there;COCO_train2014_131190.jpg;Are there clouds visible?;no;131190
393227000;does the;COCO_train2014_393227.jpg;Does the guy have a tattoo?;yes;393227
131190007;is this a;COCO_train2014_131190.jpg;Is this a sunny day?;yes;131190
262283001;is the;COCO_train2014_262283.jpg;Is the area lit?;yes;262283
262283003;are the;COCO_train2014_262283.jpg;Are the vases identical?;no;262283
393227004;is the;COCO_train2014_393227.jpg;Is the man's visor providing his face enough protection?;no;393227
458763006;is this a;COCO_train2014_458763.jpg;Is this a wedding?;no;458763
393291006;are there any;COCO_train2014_393291.jpg;Are there any reflections in this picture?;no;393291
524320000;is the man;COCO_train2014_524320.jpg;Is the man standing on both foot?;no;524320
524320001;was;COCO_train2014_524320.jpg;Was this picture likely taken recently?;no;524320
524320002;do;COCO_train2014_524320.jpg;Do the gentleman's socks match his shoes and belt?;no;524320
131190014;are the;COCO_train2014_131190.jpg;Are the hedges well-groomed?;no;131190
131190015;does the;COCO_train2014_131190.jpg;Does the building in the back have an elevator?;no;131190
131190017;do you;COCO_train2014_131190.jpg;Do you a phone booth?;no;131190
131190021;are the;COCO_train2014_131190.jpg;Are the buildings tall?;yes;131190
131190023;is the;COCO_train2014_131190.jpg;Is the clock between two arches?;no;131190
131190024;are there any;COCO_train2014_131190.jpg;Are there any entrance gates at the bottom of the tower?;no;131190
131190025;is the;COCO_train2014_131190.jpg;Is the building a high rise?;no;131190
262261002;does this;COCO_train2014_262261.jpg;Does this image contain a pie pan?;yes;262261
131190026;is;COCO_train2014_131190.jpg;Is part of this tower made of wood?;yes;131190
131190027;none of the above;COCO_train2014_131190.jpg;Can the tree tell time?;no;131190
